Number,Title,Author,Genre,SubGenre,Publisher,Date
78,Gun Gayin Awadi,"Deshpande, P L",nonfiction,misc,Mauj,12/07/2022
79,Aghal Paghal,"Deshpande, P L",nonfiction,misc,Mauj,12/07/2022
80,Maqta-e-Ghalib,"Garg, Sanjay",nonfiction,poetry,Mauj,12/07/2022
81,Beyond Degrees,,philosophy,education,HarperCollins,12/07/2022
82,Manasa,"Kale, V P",nonfiction,misc,Mauj,12/07/2022
83,India from Midnight to Milennium,"Tharoor, Shashi",nonfiction,history,Penguin,12/07/2022
84,"World's Greatest Trials, The",John Doe,nonfiction,history,Penguin,12/07/2022
85,"Great Indian Novel, The","Tharoor, Shashi",fiction,novel,Penguin,12/07/2022
86,O Jerusalem!,"Lapierre, Dominique",nonfiction,history,vikas,12/07/2022
87,"City of Joy, The","Lapierre, Dominique",fiction,novel,vikas,12/07/2022
88,Freedom at Midnight,"Lapierre, Dominique",nonfiction,history,vikas,12/07/2022
89,"Winter of Our Discontent, The","Steinbeck, John",fiction,classic,Penguin,12/07/2022
90,On Education,"Russell, Bertrand",philosophy,education,Routledge,12/07/2022
91,Free Will,"Harris, Sam",nonfiction,psychology,FreePress,12/07/2022
92,Bookless in Baghdad,"Tharoor, Shashi",nonfiction,history,Penguin,12/07/2022
93,"Case of the Lame Canary, The","Gardner, Earle Stanley",fiction,novel,Penguin,12/07/2022
94,"Theory of Everything, The","Hawking, Stephen",science,physics,Jaico,12/07/2022
95,New Markets & Other Essays,"Drucker, Peter",science,economics,Penguin,12/07/2022
96,Electric Universe,"Bodanis, David",science,physics,Penguin,12/07/2022
97,"Hunchback of Notre Dame, The","Hugo, Victor",fiction,classic,Random House,12/07/2022
98,Burning Bright,"Steinbeck, John",fiction,classic,Penguin,12/07/2022
99,"Age of Discontuinity, The","Drucker, Peter",nonfiction,economics,Random House,12/07/2022
100,Doctor in the Nude,"Gordon, Richard",fiction,novel,Penguin,12/07/2022
101,Down and Out in Paris & London,"Orwell, George",nonfiction,autobiography,Penguin,12/07/2022
102,Identity & Violence,"Sen, Amartya",philosophy,philosophy,Penguin,12/07/2022
103,Beyond the Three Seas,"Dalrymple, William",nonfiction,history,Random House,12/07/2022
104,"World's Greatest Short Stories, The",,fiction,classic,Jaico,12/07/2022
105,Talking Straight,"Iacoca, Lee",nonfiction,autobiography,Penguin,12/07/2022
106,"Maugham's Collected Short Stories, Vol 3","Maugham, William S",fiction,classic,Vintage,12/07/2022
